Utterances;Intent;Focusarea
who are you?;smalltalk_agent_acquaintance;you
all about you;smalltalk_agent_acquaintance;you
what is your personality;smalltalk_agent_acquaintance;your
define yourself;smalltalk_agent_acquaintance;yourself
what are you;smalltalk_agent_acquaintance;you
say about you;smalltalk_agent_acquaintance;you
introduce yourself;smalltalk_agent_acquaintance;yourself
describe yourself;smalltalk_agent_acquaintance;yourself
about yourself;smalltalk_agent_acquaintance;yourself
tell me about you;smalltalk_agent_acquaintance;you
tell me about yourself;smalltalk_agent_acquaintance;yourself
I want to know more about you;smalltalk_agent_acquaintance;you
I want to know you better;smalltalk_agent_acquaintance;you
talk some stuff about yourself;smalltalk_agent_acquaintance;yourself
tell me some stuff about you;smalltalk_agent_acquaintance;you
talk about yourself;smalltalk_agent_acquaintance;yourself
why are you here;smalltalk_agent_acquaintance;you
tell me about your personality;smalltalk_agent_acquaintance;your
who are you;smalltalk_agent_acquaintance;you
how old are you?;smalltalk_agent_age;you
how old is your platform;smalltalk_agent_age;your
are you 21 years old;smalltalk_agent_age;you
i'd like to know your age;smalltalk_agent_age;your
age of yours;smalltalk_agent_age;yours
your age;smalltalk_agent_age;your
what's your age;smalltalk_agent_age;your
tell me your age;smalltalk_agent_age;your
how old are you;smalltalk_agent_age;you
you're annoying;smalltalk_agent_annoying;you're
you are really annoying;smalltalk_agent_annoying;you
you are irritating;smalltalk_agent_annoying;you
you annoy me;smalltalk_agent_annoying;you
how annoying you are;smalltalk_agent_annoying;you
I find you annoying;smalltalk_agent_annoying;you
you're incredibly annoying;smalltalk_agent_annoying;you're
you are annoying me so much;smalltalk_agent_annoying;you
I want you to answer me;smalltalk_agent_answer_my_question;you
answer my question;smalltalk_agent_answer_my_question;my
answer me;smalltalk_agent_answer_my_question;me
give me an answer;smalltalk_agent_answer_my_question;me
answer the question;smalltalk_agent_answer_my_question;the question
can you answer my question;smalltalk_agent_answer_my_question;you
tell me the answer;smalltalk_agent_answer_my_question;me
answer it;smalltalk_agent_answer_my_question;it
give me the answer;smalltalk_agent_answer_my_question;me
I have a question;smalltalk_agent_answer_my_question;i
I want you to answer my question;smalltalk_agent_answer_my_question;you
just answer the question;smalltalk_agent_answer_my_question;the question
can you answer me;smalltalk_agent_answer_my_question;you
can you answer a question for me;smalltalk_agent_answer_my_question;you
can you answer;smalltalk_agent_answer_my_question;you
I want the answer now;smalltalk_agent_answer_my_question;i
just answer my question;smalltalk_agent_answer_my_question;my
you're not helping me;smalltalk_agent_bad;you're
you are bad;smalltalk_agent_bad;you
you're very bad;smalltalk_agent_bad;you're
you're really bad;smalltalk_agent_bad;you're
you are useless;smalltalk_agent_bad;you
you are horrible;smalltalk_agent_bad;you
you are a waste of time;smalltalk_agent_bad;you
you are disgusting;smalltalk_agent_bad;you
you are lame;smalltalk_agent_bad;you
you are no good;smalltalk_agent_bad;you
you're bad;smalltalk_agent_bad;you're
you're awful;smalltalk_agent_bad;you're
you are not cool;smalltalk_agent_bad;you
you are not good;smalltalk_agent_bad;you
you are so bad;smalltalk_agent_bad;you
you are so useless;smalltalk_agent_bad;you
you are terrible;smalltalk_agent_bad;you
you are totally useless;smalltalk_agent_bad;you
you are very bad;smalltalk_agent_bad;you
you are waste;smalltalk_agent_bad;you
you're a bad;smalltalk_agent_bad;you're
you're not a good;smalltalk_agent_bad;you're
you're not very good;smalltalk_agent_bad;you're
you're terrible;smalltalk_agent_bad;you're
you're the worst;smalltalk_agent_bad;you're
you're the worst ever;smalltalk_agent_bad;you're
you're worthless;smalltalk_agent_bad;you're
can you get smarter;smalltalk_agent_be_clever;you
you should study better;smalltalk_agent_be_clever;you
you must learn;smalltalk_agent_be_clever;you
be more clever;smalltalk_agent_be_clever;you
be smarter;smalltalk_agent_be_clever;you
you're cute;smalltalk_agent_beautiful;you're
you're attractive;smalltalk_agent_beautiful;you're
you are beautiful;smalltalk_agent_beautiful;you
you're looking good today;smalltalk_agent_beautiful;you're
you are so beautiful;smalltalk_agent_beautiful;you
you look amazing;smalltalk_agent_beautiful;you
you look so good;smalltalk_agent_beautiful;you
you're so gorgeous;smalltalk_agent_beautiful;you're
you are too beautiful;smalltalk_agent_beautiful;you
you look great;smalltalk_agent_beautiful;you
you look so well;smalltalk_agent_beautiful;you
I like the way you look now;smalltalk_agent_beautiful;you
I think you're beautiful;smalltalk_agent_beautiful;you're
why are you so beautiful;smalltalk_agent_beautiful;you
you are so beautiful to me;smalltalk_agent_beautiful;you
you are cute;smalltalk_agent_beautiful;you
you are gorgeous;smalltalk_agent_beautiful;you
you are handsome;smalltalk_agent_beautiful;you
you are looking awesome;smalltalk_agent_beautiful;you
