Utterances;Focusarea
what age are you?;you
are you 21 years old?;you
i would like to know your age;your
what's your age?;your
you're a nuisance;you're
you're irritable;you're
you irritate me;me
what an annoying person you are;you
i find you irritating;i
you're so annoying;you're
you're really annoying;you're
you're just bothering me;you're
you're annoying me;you're
you're annoying me so much;you're
i want you to answer;you
i want you to answer me;you
please answer my question;my
please answer me;me
give me a response;me
please give me a response;me
give me a answer;me
i'm looking for answers to my question;my
could you answer my question?;my
can you answer my question?;my
i'll take a call;i
i have a question;i
i want you to answer my question;my
answer the question just;the question
can you answer my questions?;my
can you give me an answer?;me
can you answer me?;me
can you answer me a question?;me
can you answer a question for me?;me
can you answer?;you
i'd like the answer now;i
i want the answer now;i
don't help me;me
you don't help me;you
you're not good;you're
you're deplorable;you're
you're absolutely useless;you're
you're a waste;you're
you're not good at it;you're
you're not great;you're
you're not that great;you're
you're the worst thing ever;you're
you're not worth it;you're
you're useless;you're
can you become smarter?;you
can you be smarter?;you
you should study harder;you
you have to learn something;you
you have to learn;you
get yourself ready;yourself
you look good;you
you're too gorgeous;you're
you're beautiful;you're
you're so beautiful;you're
i like your look;your
i like your look now;your
i like the way you now look;you
i think you're pretty;you're
i think you're great;you're
why do you're beautiful?;you're
why are you beautiful?;you
why are you so beautiful?;you
you're beautiful to me;you're
you're magnificent;you're
you look so good today;you
you look good today;you
you're so pretty;you're
you look like a beautiful woman;you
you look spectacular;you
you look brilliant;you
you look magnificent;you
you look beautiful;you
you look so pretty;you
you look lovely;you
you look excellent today;you
you look quite attractive;you
you look excellent;you
i like the way you look;yyou
you're a cutie;you're
you look fine;you
your date of birth;your
when's your birthday?;your
when will you celebrate your birthday?;you
when does your birthday happen?;your
when do you have your birthday?;you
when do you have a birthday?;you
your birthday;your
when did you get born?;you
what is your birthday?;your
what's your birthday?;your
what a dull person you are;you
you're very boring;you're
you're awfully boring;you're
you're boring me;you're
who's your boss?;your
who is your boss?;your
and who is your boss?;your
who do you think is your boss?;your
who's your leader;your
who is your teacher?;your
who's your master?;your
who is your master?;your
who's your owner?;your
who is your owner?;your
are you busy?;you
do you have many things to do?;you
are you very busy?;you
are you very busy right now?;you
are you so busy?;you
are you working?;you
do you still work on this?;you
are you still working on it?;you
you're busy;you're
you're so busy;you're
are you working now?;you
are you working today?;you
have you been busy?;you
are you still working?;you
you look busy;you
you seem busy;you
you seem very busy;youyou
are you a chatbot?;you
are you a bot?;you
are you just a bot?;you
are you a robot?;you
are you a program?;you
you're so clever;you're
you know so many things;you
you know a lot of stuff;you
you know many things;you
how awesome you are;you
you have qualifications;you
you're an intelligent guy;you're
you're smart;you're
you're so smart;you're
you are smart;you
you're a smart nut;you're
you're a qualified;you're
why are you so clever?;you
why are you so smart?;you
you're so off-your-cuff;you're
i think you're just crazy;you're
are you insane?;you
are you mad?;you
are you crazy?;you
are you mad at me?;you
